,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령
1090,2013년 9월 2일 17시,월요일,서울특별시 중랑구 중화동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,49세,상해없음,보행자,남,12세
1091,2013년 9월 2일 19시,월요일,서울특별시 중랑구 신내동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,26세,상해없음,보행자,남,9세
1092,2013년 9월 2일 19시,월요일,서울특별시 강서구 가양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,56세,상해없음,보행자,남,4세
1093,2013년 9월 2일 20시,월요일,서울특별시 노원구 하계동,중상사고,0,1,4,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,승용,여,41세
1094,2013년 9월 3일 08시,화요일,서울특별시 동대문구 답십리동,부상신고사고,0,0,0,1,차대차 - 측면직각충돌,기타,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,73세,상해없음,자전거,남,12세
1095,2013년 9월 3일 11시,화요일,서울특별시 광진구 구의동,중상사고,0,4,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,여,33세
1096,2013년 9월 3일 18시,화요일,서울특별시 도봉구 창동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,70세,상해없음,보행자,남,9세
1097,2013년 9월 3일 18시,화요일,서울특별시 은평구 갈현동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,기타불명,기타불명,기타불명,보행자,남,7세
1098,2013년 9월 4일 08시,수요일,서울특별시 광진구 광장동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,보행자,남,12세
1099,2013년 9월 4일 15시,수요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,72세,상해없음,자전거,남,11세
1101,2013년 9월 4일 16시,수요일,서울특별시 송파구 석촌동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,자전거,남,63세,상해없음,보행자,남,3세
1102,2013년 9월 4일 16시,수요일,서울특별시 송파구 잠실동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,31세,상해없음,승용,남,71세
1103,2013년 9월 4일 19시,수요일,서울특별시 서대문구 북가좌동,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,화물,남,50세,상해없음,보행자,여,11세
1104,2013년 9월 5일 08시,목요일,서울특별시 은평구 불광동,부상신고사고,0,0,0,1,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,47세,상해없음,보행자,여,12세
1105,2013년 9월 5일 12시,목요일,서울특별시 용산구 한강로1가,경상사고,0,0,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,38세,상해없음,승합,남,40세
1106,2013년 9월 5일 17시,목요일,서울특별시 종로구 무악동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,55세,상해없음,자전거,남,11세
1107,2013년 9월 5일 18시,목요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,기타불명,기타불명,기타불명,보행자,여,9세
1108,2013년 9월 5일 18시,목요일,서울특별시 강동구 둔촌동,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,9세,경상,승용,남,41세
1109,2013년 9월 5일 20시,목요일,서울특별시 중구 을지로1가,경상사고,0,0,2,1,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,64세,상해없음,승용,남,33세
1110,2013년 9월 6일 14시,금요일,서울특별시 양천구 신월동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,59세,상해없음,승용,남,45세
1111,2013년 9월 6일 15시,금요일,서울특별시 중랑구 묵동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,72세,상해없음,보행자,남,9세
